Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Someshwar,2024-10-02,412306,mr,drinking water problem
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2024-03-07,413109,mr,garbage not collected
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2024-11-15,413111,mr,electricity supply disrupted
The road from Jejuri to nearby town is full of potholes.,Road,Negative,Low,Baramati,2024-05-19,413102,en,road potholes
Frequent power cuts in the evening.,Electricity,Negative,High,Pandare,2025-09-11,413103,en,frequent power cuts
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Katphal,2025-05-28,413111,mr,drinking water problem
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-06-03,413110,mr,electricity supply disrupted
Road construction is pending for months.,Road,Negative,Low,Pandare,2024-02-29,413103,en,road work pending
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Katphal,2024-09-27,413111,mr,health camp needed
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Pandare,2024-06-12,413103,mr,health camp needed
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Nimbut,2024-02-02,413110,mr,drinking water problem
No water supply in the village since 7 days.,Water,Negative,High,Morgaon,2025-06-21,413304,en,no water supply
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2025-01-16,413103,en,road potholes
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2024-11-17,412306,en,road potholes
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-06-09,413115,en,streetlights not working
Library in village remains closed.,Others,Negative,Low,Nimbut,2024-03-15,413110,en,other_issue
Electric transformer is not working in Pandharpur.,Electricity,Negative,High,Someshwar,2024-02-18,412306,en,transformer not working
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2024-06-03,413103,en,handpump broken
Library in village remains closed.,Others,Negative,Low,Katphal,2025-07-26,413111,en,other_issue
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2025-08-22,413304,mr,other_issue
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2025-07-10,413115,mr,teachers not available
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-03-01,413111,en,streetlights not working
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2024-08-11,413102,mr,new road required
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Morgaon,2025-04-19,413304,en,garbage not collected
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Katphal,2024-11-03,413111,mr,other_issue
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Baramati,2024-09-15,413102,en,drainage problem
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Katphal,2024-11-04,413111,mr,garbage not collected
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-11-15,413304,en,drainage problem
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Morgaon,2025-05-18,413304,mr,electricity supply disrupted
Playground is not maintained properly.,Others,Negative,Low,Malegaon,2025-08-08,413115,en,playground not maintained
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2025-01-28,413111,mr,electricity supply disrupted
Medicines are not available at PHC.,Health,Negative,Medium,Supa,2025-04-11,413109,en,medicines not available
Village health worker is absent since 1 days.,Health,Negative,High,Katphal,2025-08-19,413111,en,health worker absent
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Pandare,2024-11-11,413103,mr,electricity supply disrupted
Village health worker is absent since 5 days.,Health,Negative,High,Malegaon,2024-02-23,413115,en,health worker absent
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Someshwar,2024-12-25,412306,mr,health camp needed
Playground is not maintained properly.,Others,Negative,Low,Morgaon,2025-02-23,413304,en,playground not maintained
No electricity for 10 hours continuously.,Electricity,Negative,High,Nimbut,2025-01-20,413110,en,prolonged power cut
Frequent power cuts in the evening.,Electricity,Negative,High,Pandare,2025-02-01,413103,en,frequent power cuts
Drinking water tank is empty.,Water,Negative,High,Someshwar,2025-05-24,412306,en,water tank empty
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Pandare,2025-08-05,413103,mr,teachers not available
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Morgaon,2024-10-26,413304,mr,garbage not collected
Village road is damaged due to rain.,Road,Negative,Low,Katphal,2025-02-02,413111,en,road potholes
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2025-06-23,413111,en,garbage not collected
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Supa,2025-07-15,413109,en,drainage problem
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-06-10,412306,en,water tank empty
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Malegaon,2024-06-10,413115,mr,garbage not collected
Frequent power cuts in the evening.,Electricity,Negative,High,Malegaon,2024-10-15,413115,en,frequent power cuts
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Someshwar,2025-02-23,412306,en,transformer not working
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Katphal,2024-02-22,413111,mr,drainage problem
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Nimbut,2025-05-23,413110,en,road potholes
No water supply in the village since 1 days.,Water,Negative,High,Pandare,2024-01-05,413103,en,no water supply
No water supply in the village since 10 days.,Water,Negative,High,Morgaon,2024-05-22,413304,en,no water supply
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Supa,2024-05-29,413109,en,drainage problem
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-10-30,413103,en,streetlights not working
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2024-10-21,413109,mr,teachers not available
Garbage is not collected regularly in Loni.,Sanitation,Negative,Medium,Pandare,2024-07-24,413103,en,garbage not collected
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2024-11-22,412306,en,handpump broken
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2024-10-26,413304,en,road potholes
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2024-11-02,413304,en,road potholes
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Malegaon,2025-08-05,413115,mr,new road required
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Supa,2024-12-31,413109,mr,water tanker not arrived
Road construction is pending for months.,Road,Negative,Low,Malegaon,2025-09-07,413115,en,road work pending
Road construction is pending for months.,Road,Negative,Low,Morgaon,2025-03-16,413304,en,road work pending
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Pandare,2025-07-25,413103,en,drainage problem
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Pandare,2025-04-13,413103,mr,other_issue
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2024-08-10,413304,mr,frequent power cuts
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Malegaon,2025-01-17,413115,mr,water tanker not arrived
Village health worker is absent since 7 days.,Health,Negative,Medium,Pandare,2024-08-09,413103,en,health worker absent
Road construction is pending for months.,Road,Negative,Low,Morgaon,2025-01-19,413304,en,road work pending
No electricity for 10 hours continuously.,Electricity,Negative,High,Malegaon,2025-03-04,413115,en,prolonged power cut
Library in village remains closed.,Others,Negative,Low,Morgaon,2024-03-29,413304,en,other_issue
Village health worker is absent since 6 days.,Health,Negative,Medium,Baramati,2025-01-26,413102,en,health worker absent
Medicines are not available at PHC.,Health,Negative,Medium,Supa,2024-03-08,413109,en,medicines not available
Playground is not maintained properly.,Others,Negative,Low,Pandare,2024-09-05,413103,en,playground not maintained
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Someshwar,2025-07-20,412306,en,garbage not collected
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Someshwar,2024-08-16,412306,en,drainage problem
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2025-08-09,413103,en,road potholes
Frequent power cuts in the evening.,Electricity,Negative,High,Pandare,2024-01-19,413103,en,frequent power cuts
Road construction is pending for months.,Road,Negative,Low,Supa,2024-12-01,413109,en,road work pending
Village road is damaged due to rain.,Road,Negative,Low,Nimbut,2024-01-26,413110,en,road potholes
Medicines are not available at PHC.,Health,Negative,High,Pandare,2025-07-22,413103,en,medicines not available
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2024-07-05,413109,mr,teachers not available
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Nimbut,2024-02-13,413110,en,ambulance not arrived
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Katphal,2025-06-16,413111,mr,garbage not collected
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Morgaon,2024-01-10,413304,mr,new road required
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2024-07-10,413115,en,handpump broken
Library in village remains closed.,Others,Negative,Low,Malegaon,2024-09-18,413115,en,other_issue
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2025-01-24,413304,en,garbage not collected
Library in village remains closed.,Others,Negative,Low,Katphal,2024-02-18,413111,en,other_issue
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Nimbut,2024-02-27,413110,mr,health camp needed
Emergency ambulance did not arrive on time.,Health,Negative,High,Malegaon,2024-09-23,413115,en,ambulance not arrived
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Morgaon,2025-05-05,413304,en,garbage not collected
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2025-08-29,413111,en,frequent power cuts
Medicines are not available at PHC.,Health,Negative,High,Nimbut,2024-08-15,413110,en,medicines not available
Village road is damaged due to rain.,Road,Negative,Low,Pandare,2025-05-12,413103,en,road potholes
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Someshwar,2025-07-02,412306,en,road potholes
Road construction is pending for months.,Road,Negative,Low,Morgaon,2025-06-05,413304,en,road work pending
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2024-05-30,413115,en,road potholes
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2025-01-04,412306,en,handpump broken
No doctor available at PHC.,Health,Negative,High,Morgaon,2024-06-28,413304,en,doctor not available
Emergency ambulance did not arrive on time.,Health,Negative,High,Supa,2024-01-08,413109,en,ambulance not arrived
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Pandare,2025-04-27,413103,mr,drainage problem
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-07-01,413304,mr,other_issue
No doctor available at PHC.,Health,Negative,Medium,Morgaon,2024-06-16,413304,en,doctor not available
Medicines are not available at PHC.,Health,Negative,Medium,Katphal,2025-06-27,413111,en,medicines not available
No water supply in the village since 2 days.,Water,Negative,High,Pandare,2025-06-19,413103,en,no water supply
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Malegaon,2024-04-30,413115,mr,electricity supply disrupted
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Supa,2025-01-19,413109,mr,other_issue
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2024-10-19,413115,mr,teachers not available
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Nimbut,2025-01-31,413110,mr,drinking water problem
Village health worker is absent since 7 days.,Health,Negative,High,Morgaon,2024-02-12,413304,en,health worker absent
"Handpump is broken, villagers are suffering.",Water,Negative,High,Malegaon,2024-05-04,413115,en,handpump broken
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2024-04-14,413103,mr,frequent power cuts
No doctor available at PHC.,Health,Negative,Medium,Nimbut,2025-01-10,413110,en,doctor not available
Frequent power cuts in the evening.,Electricity,Negative,High,Malegaon,2025-01-31,413115,en,frequent power cuts
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Pandare,2025-07-31,413103,mr,electricity supply disrupted
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2025-08-16,413111,mr,teachers not available
Library in village remains closed.,Others,Negative,Low,Baramati,2025-05-01,413102,en,other_issue
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-01-29,413109,mr,teachers not available
No electricity for 8 hours continuously.,Electricity,Negative,High,Malegaon,2024-07-17,413115,en,prolonged power cut
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Someshwar,2025-04-25,412306,en,road potholes
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2025-03-04,413103,en,garbage not collected
Village road is damaged due to rain.,Road,Negative,Low,Malegaon,2025-06-22,413115,en,road potholes
Drinking water tank is empty.,Water,Negative,High,Morgaon,2024-02-18,413304,en,water tank empty
No electricity for 5 hours continuously.,Electricity,Negative,High,Morgaon,2024-04-03,413304,en,prolonged power cut
No electricity for 10 hours continuously.,Electricity,Negative,High,Someshwar,2024-02-06,412306,en,prolonged power cut
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2024-06-01,413109,mr,frequent power cuts
Emergency ambulance did not arrive on time.,Health,Negative,High,Malegaon,2024-07-20,413115,en,ambulance not arrived
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2024-05-07,413115,mr,drinking water problem
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Someshwar,2025-02-09,412306,en,transformer not working
Medicines are not available at PHC.,Health,Negative,Medium,Malegaon,2025-08-28,413115,en,medicines not available
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Malegaon,2024-07-23,413115,mr,frequent power cuts
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Pandare,2024-03-11,413103,mr,drinking water problem
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Morgaon,2024-05-15,413304,mr,new road required
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Baramati,2024-01-17,413102,en,garbage not collected
Electric transformer is not working in Morgaon.,Electricity,Negative,High,Baramati,2025-07-02,413102,en,transformer not working
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2024-08-08,413115,en,garbage not collected
Playground is not maintained properly.,Others,Negative,Low,Pandare,2024-11-05,413103,en,playground not maintained
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2024-09-10,413109,mr,frequent power cuts
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Someshwar,2024-12-03,412306,mr,water tanker not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Baramati,2024-11-08,413102,en,handpump broken
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Morgaon,2024-11-27,413304,mr,drinking water problem
No electricity for 7 hours continuously.,Electricity,Negative,High,Morgaon,2025-04-15,413304,en,prolonged power cut
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-03-03,413102,en,playground not maintained
Medicines are not available at PHC.,Health,Negative,Medium,Someshwar,2025-01-17,412306,en,medicines not available
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Someshwar,2024-08-28,412306,mr,other_issue
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2025-07-24,413110,mr,electricity supply disrupted
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2025-02-26,413109,mr,frequent power cuts
Road construction is pending for months.,Road,Negative,Low,Katphal,2024-10-25,413111,en,road work pending
No electricity for 5 hours continuously.,Electricity,Negative,High,Supa,2025-06-08,413109,en,prolonged power cut
पाण्याचा टँकर आला नाही 1 दिवसांपासून.,Water,Negative,High,Morgaon,2024-03-22,413304,mr,water tanker not arrived
No electricity for 5 hours continuously.,Electricity,Negative,High,Malegaon,2025-05-17,413115,en,prolonged power cut
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Nimbut,2024-09-14,413110,mr,electricity supply disrupted
Drinking water tank is empty.,Water,Negative,High,Baramati,2025-08-19,413102,en,water tank empty
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Someshwar,2024-03-06,412306,mr,other_issue
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Supa,2024-07-31,413109,en,garbage not collected
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Morgaon,2024-05-23,413304,mr,electricity supply disrupted
Electric transformer is not working in Pandharpur.,Electricity,Negative,High,Supa,2025-05-14,413109,en,transformer not working
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Malegaon,2025-01-12,413115,en,transformer not working
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2025-04-03,413111,mr,electricity supply disrupted
Road construction is pending for months.,Road,Negative,Low,Nimbut,2024-11-19,413110,en,road work pending
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2024-01-28,413102,mr,new road required
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Someshwar,2025-01-30,412306,en,garbage not collected
Garbage is not collected regularly in Bhigwan.,Sanitation,Negative,Medium,Supa,2024-12-20,413109,en,garbage not collected
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Nimbut,2025-06-25,413110,mr,frequent power cuts
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Baramati,2024-08-08,413102,mr,frequent power cuts
Road construction is pending for months.,Road,Negative,Low,Malegaon,2024-02-23,413115,en,road work pending
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2025-07-21,413102,mr,new road required
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-02-26,413109,mr,teachers not available
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2024-02-18,413111,en,frequent power cuts
Streetlights are not working at the chowk.,Others,Negative,Low,Nimbut,2025-04-29,413110,en,streetlights not working
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Morgaon,2024-02-10,413304,mr,other_issue
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Pandare,2025-05-17,413103,mr,other_issue
Garbage is not collected regularly in Someshwar.,Sanitation,Negative,Medium,Pandare,2024-04-16,413103,en,garbage not collected
No water supply in the village since 9 days.,Water,Negative,High,Morgaon,2024-06-09,413304,en,no water supply
Electric transformer is not working in Daund.,Electricity,Negative,High,Baramati,2024-02-04,413102,en,transformer not working
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2024-01-11,413111,mr,new road required
Drinking water tank is empty.,Water,Negative,High,Katphal,2024-07-12,413111,en,water tank empty
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Morgaon,2024-06-17,413304,mr,water tanker not arrived
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2025-01-25,413115,mr,other_issue
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2025-09-05,413110,en,playground not maintained
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Supa,2024-05-13,413109,mr,frequent power cuts
No water supply in the village since 3 days.,Water,Negative,High,Katphal,2024-09-04,413111,en,no water supply
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Malegaon,2025-08-24,413115,en,road potholes
"Handpump is broken, villagers are suffering.",Water,Negative,High,Supa,2025-06-15,413109,en,handpump broken
Drinking water tank is empty.,Water,Negative,High,Katphal,2024-02-06,413111,en,water tank empty
Streetlights are not working at the chowk.,Others,Negative,Low,Supa,2025-04-10,413109,en,streetlights not working
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Someshwar,2025-09-12,412306,mr,other_issue
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2025-08-30,412306,en,handpump broken
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2025-07-03,412306,en,handpump broken
Drinking water tank is empty.,Water,Negative,High,Malegaon,2024-07-10,413115,en,water tank empty
No electricity for 3 hours continuously.,Electricity,Negative,High,Supa,2024-07-26,413109,en,prolonged power cut
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-05-25,412306,mr,drainage problem
No electricity for 5 hours continuously.,Electricity,Negative,High,Baramati,2024-06-29,413102,en,prolonged power cut
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Supa,2024-05-14,413109,mr,water tanker not arrived
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Katphal,2025-03-21,413111,mr,health camp needed
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Pandare,2024-04-15,413103,mr,health camp needed
Road construction is pending for months.,Road,Negative,Low,Nimbut,2024-04-08,413110,en,road work pending
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Supa,2024-04-06,413109,en,drainage problem
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Nimbut,2024-03-26,413110,mr,water tanker not arrived
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Baramati,2024-02-14,413102,mr,other_issue
Road construction is pending for months.,Road,Negative,Low,Baramati,2024-07-21,413102,en,road work pending
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Baramati,2024-12-31,413102,mr,health camp needed
Playground is not maintained properly.,Others,Negative,Low,Supa,2025-08-04,413109,en,playground not maintained
Library in village remains closed.,Others,Negative,Low,Nimbut,2025-02-10,413110,en,other_issue
No water supply in the village since 4 days.,Water,Negative,High,Katphal,2024-05-31,413111,en,no water supply
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Pandare,2024-08-21,413103,en,road potholes
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Malegaon,2024-05-04,413115,mr,frequent power cuts
No electricity for 10 hours continuously.,Electricity,Negative,High,Malegaon,2025-08-11,413115,en,prolonged power cut
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2025-06-25,413110,en,playground not maintained
Emergency ambulance did not arrive on time.,Health,Negative,High,Katphal,2024-05-02,413111,en,ambulance not arrived
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2025-01-17,413103,en,garbage not collected
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2025-08-21,413102,mr,drainage problem
"Handpump is broken, villagers are suffering.",Water,Negative,High,Baramati,2024-09-25,413102,en,handpump broken
"Handpump is broken, villagers are suffering.",Water,Negative,High,Baramati,2025-04-14,413102,en,handpump broken
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2025-04-18,413111,en,streetlights not working
Road construction is pending for months.,Road,Negative,Low,Someshwar,2025-01-23,412306,en,road work pending
Garbage is not collected regularly in Someshwar.,Sanitation,Negative,Medium,Pandare,2025-04-05,413103,en,garbage not collected
Playground is not maintained properly.,Others,Negative,Low,Katphal,2024-03-27,413111,en,playground not maintained
Playground is not maintained properly.,Others,Negative,Low,Katphal,2025-06-18,413111,en,playground not maintained
Emergency ambulance did not arrive on time.,Health,Negative,High,Malegaon,2025-04-07,413115,en,ambulance not arrived
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Pandare,2025-02-12,413103,en,garbage not collected
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2025-02-10,413102,mr,other_issue
पाण्याचा टँकर आला नाही 8 दिवसांपासून.,Water,Negative,High,Morgaon,2025-06-30,413304,mr,water tanker not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Morgaon,2024-12-06,413304,en,handpump broken
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Nimbut,2024-12-25,413110,mr,new road required
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2025-06-24,413304,mr,drainage problem
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Katphal,2025-07-09,413111,en,garbage not collected
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Baramati,2024-07-18,413102,mr,garbage not collected
"Handpump is broken, villagers are suffering.",Water,Negative,High,Nimbut,2025-08-17,413110,en,handpump broken
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2024-05-01,413115,mr,teachers not available
No doctor available at PHC.,Health,Negative,High,Morgaon,2025-01-15,413304,en,doctor not available
No electricity for 1 hours continuously.,Electricity,Negative,High,Nimbut,2024-05-17,413110,en,prolonged power cut
"Handpump is broken, villagers are suffering.",Water,Negative,High,Nimbut,2024-02-10,413110,en,handpump broken
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Katphal,2024-12-10,413111,mr,drainage problem
Village health worker is absent since 8 days.,Health,Negative,High,Malegaon,2024-09-12,413115,en,health worker absent
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Morgaon,2025-03-08,413304,en,garbage not collected
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Morgaon,2025-04-16,413304,mr,health camp needed
"Handpump is broken, villagers are suffering.",Water,Negative,High,Nimbut,2025-04-12,413110,en,handpump broken
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Someshwar,2024-08-14,412306,en,ambulance not arrived
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2024-11-11,413103,en,handpump broken
Streetlights are not working at the chowk.,Others,Negative,Low,Pandare,2024-05-15,413103,en,streetlights not working
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-08-16,413102,en,playground not maintained
Library in village remains closed.,Others,Negative,Low,Malegaon,2025-05-01,413115,en,other_issue
Electric transformer is not working in Someshwar.,Electricity,Negative,High,Morgaon,2024-04-20,413304,en,transformer not working
The road from Bhigwan to nearby town is full of potholes.,Road,Negative,Low,Pandare,2025-03-25,413103,en,road potholes
पाण्याचा टँकर आला नाही 4 दिवसांपासून.,Water,Negative,High,Morgaon,2025-06-12,413304,mr,water tanker not arrived
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2025-06-19,413304,mr,drainage problem
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Morgaon,2024-03-18,413304,en,transformer not working
No electricity for 5 hours continuously.,Electricity,Negative,High,Supa,2024-08-20,413109,en,prolonged power cut
Drinking water tank is empty.,Water,Negative,High,Pandare,2024-05-14,413103,en,water tank empty
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Katphal,2025-03-21,413111,mr,new road required
Village road is damaged due to rain.,Road,Negative,Low,Morgaon,2025-04-28,413304,en,road potholes
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2025-06-24,412306,en,handpump broken
Streetlights are not working at the chowk.,Others,Negative,Low,Baramati,2025-05-13,413102,en,streetlights not working
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2024-04-11,413304,mr,teachers not available
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2025-08-07,413111,en,frequent power cuts
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Pandare,2024-12-09,413103,mr,other_issue
Medicines are not available at PHC.,Health,Negative,Medium,Nimbut,2024-07-12,413110,en,medicines not available
